RA,Dec
6.79417,-11.61431
6.79917,-27.15236
6.82625,-16.78569
6.83625,-50.24917
6.84792,-21.55708
6.85042,-12.49125
6.87042,26.12194
6.89417,28.70555
6.93,-41.43681
6.93208,-33.05708
6.96,-32.55486
6.96625,26.27417
7.02583,-6.53556
7.04083,18.82708
7.04833,31.06167
7.05625,-32.46708
7.05667,-75.62556
7.06583,43.65264
7.0675,-35.70333
7.06958,63.73264
7.08917,-20.33444
7.09542,-45.86653
7.10083,-29.40389
7.11375,-29.28444
7.11708,-0.46375
7.14417,49.47639
7.15083,-23.64708
7.18792,-57.55139
7.20083,59.28972
7.20667,-40.90681
7.22542,50.37389
7.26125,19.95472
7.28667,-22.60806
7.30792,13.26819
7.31125,41.88264
7.34333,50.86639
7.38583,-37.6925
7.40792,-31.03472
7.42125,-16.90222
7.44125,-15.15583
7.49167,-63.41667
7.50292,-20.48208
7.50875,-33.76292
7.52417,-20.08861
7.53125,37.43361
7.57458,-53.4318
7.58167,-16.78986
7.5925,-12.91764
7.6075,-48.21264
7.61083,-34.27417
7.63458,-62.59653
7.65667,-24.18153
7.67167,-13.35833
7.73958,-65.83903
7.74708,-11.88333
7.77792,-35.25889
7.83583,-23.56625
7.83833,30.26611
7.875,31.39778
7.96,36.96556
8.04042,18.13569
8.04167,-38.45792
8.04583,-32.70264
8.08792,24.39972
8.10042,67.23514
8.10208,6.96167
8.12708,-22.70722
8.14375,7.49139
8.15917,-1.01556
8.1725,-12.94153
8.17292,40.02875
8.17958,0.51875
8.1975,-40.76708
8.2575,-3.71306
8.28375,-32.02139
8.32958,-3.59153
8.34208,-69.25056
8.345,-20.65236
8.36458,57.84597
8.3825,-0.31806
8.39417,-19.35833
8.40583,39.88583
8.44375,-13.42278
8.45667,32.87042
8.46792,20.35333
8.47083,-7.85458
8.4775,-25.19806
8.48708,53.26083
8.49125,61.44584
8.5,-38.78833
8.50375,-33.90792
8.51542,1.09944
8.52792,-2.15972
8.53625,25.39514
8.53958,15.19333
8.55708,-21.43861
8.56583,-18.08125
8.57958,-8.98458
8.5925,-79.09042
8.61292,-6.50194
8.61667,2.41944
8.6225,-4.55528
8.65292,62.62264
8.67208,11.13444
8.7175,-61.91833
8.7375,2.56931
8.7875,-50.33472
8.80125,-19.71361
8.81125,-3.59306
8.81208,15.25361
8.85958,81.24375
8.86167,-20.26042
8.86917,60.5275
8.875,35.66195
8.88667,-0.50375
8.90417,1.63042
8.91417,-40.25389
8.92208,-18.28153
8.92542,-47.99708
8.92667,34.47597
8.93375,-25.235
8.97,59.835
9.00792,-5.56653
9.03917,7.64181
9.10458,12.21764
9.12208,-24.84222
9.13792,43.09736
9.14042,25.75375
9.14042,55.62444
9.15583,-49.12986
9.16875,38.22875
9.18208,70.57042
9.185,-58.26194
9.21333,14.99153
9.26708,-71.63917
9.27417,9.16014
9.29,61.35875
9.30125,44.2175
9.31042,-58.7325
9.31375,-46.23667
9.34667,-72.2375
9.36792,-58.01458
9.38292,55.22389
9.40125,-23.04125
9.41458,-54.34542
9.49958,32.21278
9.50417,43.895
9.5175,79.05791
9.53875,-25.08444
9.56583,-24.98292
9.58542,-2.12542
9.63583,41.48278
9.69125,33.42625
9.69292,0.57514
9.72875,-3.71458
9.74417,8.48556
9.75333,-12.4875
9.7675,79.32014
9.78417,-22.33403
9.815,-51.28361
9.84125,51.17375
9.84917,-26.52681
9.85458,-16.06778
9.88542,-31.06069
9.91208,84.74958
9.91333,-11.21667
9.92542,10.65403
9.92792,-35.46806
9.97,31.54111
9.98583,-17.8343
10.02083,50.23722
10.05542,-19.42375
10.06042,40.83278
10.06875,-27.32042
10.08625,40.73292
10.08958,43.72417
10.12042,-16.51972
10.125,-27.79819
10.12625,29.55778
10.12958,52.15181
10.165,-50.96292
10.18458,-16.02125
10.18458,-34.66847
10.19292,39.61625
10.2,-7.23125
10.21125,-53.21028
10.2125,10.05889
10.21667,-44.12778
10.2175,-79.24445
10.22167,-7.70042
10.27292,-59.31972
10.28792,-45.59764
10.29917,55.39917
10.30083,-26.82667
10.30458,9.35139
10.32375,34.42042
10.3825,12.96111
10.38292,-22.64292
10.38875,21.30486
10.39875,-1.36208
10.42083,44.18208
10.43167,8.55458
10.43708,21.41875
10.44375,-47.0257
10.45708,-9.30472
10.46792,-9.48042
10.475,40.355
10.48042,50.5682
10.51125,-14.59917
10.52,-42.57167
10.5325,-28.53708
10.53375,36.6875
10.54542,-13.86292
10.54625,-42.87917
10.55208,-54.74194
10.56458,-25.17278
10.57708,-77.80111
10.57833,40.32833
10.59958,4.16611
10.61083,-13.59347
10.62583,-44.41736
10.65375,-10.82208
10.65375,-16.70403
10.67,30.29514
10.67417,41.25972
10.67833,40.8657
10.70167,35.54917
10.71458,41.51556
10.74417,33.59917
10.75667,-53.57667
10.8325,0.85861
10.85375,-20.62458
10.85583,-16.92903
10.87875,41.24778
10.89042,-4.71583
10.89708,-17.98639
10.93167,37.4225
10.95542,-11.27014
10.96333,24.40625
10.98542,73.73528
11.0,31.62486
11.00625,9.55056
11.01125,-74.62695
11.01917,1.56222
11.09958,-26.26681
11.10458,1.91181
11.10833,-27.81347
11.125,-49.24986
11.14625,12.19347
11.18708,-22.00861
11.19125,67.16194
11.21208,-18.97014
11.2125,-44.6925
11.2475,19.36194
11.24833,-55.13958
11.255,79.51514
11.25833,-36.13917
11.26583,-49.13139
11.2925,0.25611
11.33167,21.45986
11.35208,79.72986
11.36958,42.31389
11.41833,-22.73389
11.43917,-47.55028
11.44,-25.26819
11.44167,41.66056
11.44625,66.49973
11.44667,-0.84278
11.45417,-31.97292
11.46292,54.97611
11.47833,-17.39028
11.58542,2.03903
11.59458,30.32278
11.60625,20.63347
11.6925,21.62389
11.70583,15.46153
11.72125,48.14569
11.73167,-16.45125
11.75333,11.97417
11.75917,-80.29514
11.76292,-11.87139
11.77,-20.79542
11.77042,3.33306
11.80708,38.20306
11.82542,-22.75167
11.83083,14.70417
11.83625,24.26389
11.83708,-8.17514
11.88875,-25.28944
11.94208,2.63958
11.97167,-32.75667
12.03125,-27.62875
12.07,52.32653
12.08167,39.68611
12.08625,-73.53181
12.08792,71.27292
12.09917,27.75764
12.14583,-21.24847
12.15958,-43.19611
12.16042,-58.29611
12.18917,21.45403
12.24792,44.58347
12.25625,67.32486
12.26667,57.82139
12.27792,-21.15153
12.28083,27.12528
12.30375,-53.77639
12.3075,-42.78028
12.32208,-44.95347
12.35,-29.52458
12.37542,-24.31792
12.38167,11.47569
12.3825,-58.84653
12.39292,-14.73889
12.40792,-18.7975
12.415,-18.02542
12.41625,-41.85931
12.42417,-1.28264
12.46583,-24.27222
12.46958,39.52694
12.50292,-13.46972
12.52958,-10.64347
12.54708,-3.62875
12.57458,8.62611
12.5825,-46.30722
12.58667,10.87264
12.60125,-64.06834
12.62167,11.48389
12.63875,24.81694
12.6425,4.69792
12.66542,56.26264
12.66875,-25.6875
12.67083,-9.48208
12.71083,35.61264
12.71833,-71.15403
12.73292,8.04569
12.75542,-32.0682
12.75625,20.14097
12.77083,54.42042
12.77917,76.84514
12.78333,-73.35944
12.79917,-11.61681
12.80042,-48.55431
12.82083,-13.11139
12.82375,-62.69833
12.825,-14.7975
12.82583,13.91042
12.82583,-28.51653
12.83167,-70.93153
12.86833,-8.71264
12.88458,-30.3325
12.895,29.40222
12.90542,-34.61278
12.91625,27.34625
12.97833,17.43111
12.97833,48.98069
13.03125,10.60333
13.09167,20.94222
13.10708,-39.43736
13.1425,10.70861
13.14792,-49.42653
13.15917,-18.37486
13.16,-18.99722
13.19083,-27.47611
13.19333,-80.26083
13.19583,-19.91722
13.21208,43.60486
13.2175,-47.62278
13.23042,-56.62986
13.25333,68.35694
13.26917,48.495
13.28125,-74.65083
13.32042,-27.43681
13.32333,-32.99764
13.34833,-24.67236
13.35167,55.62833
13.39708,12.69375
13.42167,-6.26458
13.44542,22.53597
13.44708,-19.81903
13.46,-1.50639
13.46375,22.20611
13.46375,35.49694
13.52667,29.7725
13.56625,51.13778
13.67458,0.01569
13.69667,-24.92556
13.69833,27.51833
13.71792,25.42611
13.76042,-2.76861
13.81,-3.90847
13.8125,30.2575
13.82958,52.49278
13.8575,-49.94695
13.86667,46.19528
13.87083,-37.52667
13.93917,-34.61792
13.95667,50.76875
13.98042,26.38764
13.98292,-51.23944
13.99,-47.14736
14.0,26.32542
14.00667,2.82125
14.02,41.88861
14.03167,25.8007
14.06708,52.49055
14.07292,-1.25028
14.08375,-9.60722
14.10958,-1.10431
14.175,60.7168
14.22958,-75.23042
14.23125,-51.87556
14.28375,10.43181
14.28542,-24.80236
14.28875,34.8657
14.30292,23.41611
14.3275,-82.75736
14.335,-22.38333
14.36417,-26.30042
14.37417,-41.97458
14.40542,4.74986
14.415,-15.22097
14.50875,-8.39514
14.53125,-46.07236
14.53542,-5.66972
14.5575,-14.49361
14.57125,17.38347
14.595,-2.69056
14.65792,-36.09972
14.65792,-71.59514
14.68792,-5.88583
14.6925,32.10764
14.69958,-56.9868
14.81792,-1.84181
14.88458,-35.18042
14.88625,-15.67569
14.92,-45.3575
14.92125,-54.13181
14.94958,-15.98542
14.97208,31.82611
15.00292,19.19903
15.04208,31.45847
15.05583,-15.29875
15.05667,-38.31125
15.05792,21.59347
15.05833,5.86667
15.06667,12.84792
15.11625,-51.22958
15.12833,9.29722
15.14708,-27.31903
15.1675,-25.64569
15.20625,4.82722
15.21708,31.19333
15.2175,-5.34236
15.2975,-42.06764
15.3,-9.46278
15.32375,-45.94236
15.335,65.875
15.3425,-5.32125
15.34792,-3.14625
15.35375,41.25083
15.37917,-42.89625
15.38792,-27.21528
15.43917,-12.13083
15.49292,-55.39625
15.55083,81.87458
15.56542,5.05806
15.57833,12.03153
15.60292,61.06569
15.61292,-0.65319
15.64708,-24.11375
15.66375,-23.23097
15.67292,-43.35833
15.67833,-21.88056
15.67917,1.13472
15.71375,-20.03167
15.71417,18.95167
15.73458,69.22986
15.76,57.45681
15.76583,10.13069
15.80292,-55.67236
15.80583,-48.08569
15.80625,2.35194
15.81,20.09653
15.825,62.36278
15.83125,-41.07917
15.83917,-22.55792
15.85792,53.6225
15.89042,-64.65694
15.89792,23.85222
15.92,40.85667
15.92792,47.54833
15.94542,-60.41236
15.955,-25.91903
15.96375,-48.21222
16.00167,-20.45611
16.01458,-72.03278
16.03167,26.58694
16.07917,61.57653
16.11458,29.65722
16.13792,55.56083
16.14208,-23.98875
16.14458,41.30444
16.21083,40.68486
16.25042,-72.38472
16.25792,2.02903
16.26583,50.55806
16.275,28.25139
16.28708,33.19361
16.31292,80.45361
16.32292,-58.43833
16.365,-17.20569
16.39083,-24.68347
16.3975,19.42153
16.40083,-4.03389
16.41125,-14.26944
16.44458,-34.53069
16.45875,4.90583
16.48375,-35.93375
16.49417,-26.10819
16.51167,-35.76139
16.52458,-46.71931
16.53,-23.98542
16.53917,-52.26417
16.58708,33.09889
16.60833,-14.29
16.67542,39.50097
16.68542,-10.56583
16.69208,-23.96667
16.705,-22.85625
16.70625,1.05472
16.715,-2.48681
16.72,-32.72736
16.73458,-11.83278
16.76583,19.14958
16.78292,44.06445
16.78792,-32.28014
16.79875,-19.59153
16.83,-11.29222
16.83042,-61.77597
16.83834,32.38167
16.89542,-18.28375
16.92833,-26.98833
16.92917,-46.9075
16.93958,-24.64944
16.94833,-15.93264
16.95917,54.1382
16.96,-36.72833
16.98417,75.96972
16.98792,-40.35292
16.98917,20.74014
16.99208,5.165
16.99417,39.25278
17.00625,32.01208
17.03208,3.29611
17.04833,2.18042
17.07875,-41.55528
17.08125,-14.07556
17.085,5.65028
17.08917,-35.57597
17.09625,-5.54472
17.1425,-31.60695
17.14708,-46.67375
17.15667,4.50486
17.16042,-40.34444
17.19083,-25.85958
17.21042,-15.41069
17.22708,-15.63306
17.28458,18.26694
17.29167,14.23569
17.29375,-32.54694
17.325,13.16972
17.33917,-17.34931
17.36708,31.83097
17.39375,-41.85583
17.40458,-43.14333
17.40958,-7.17889
17.415,0.99528
17.43833,-20.21667
17.44583,-39.56194
17.45833,19.65736
17.45958,-12.88972
17.47083,-45.92986
17.47709,-15.17181
17.48542,-40.34639
17.49167,7.43014
17.50417,28.70278
17.52417,41.83083
17.525,13.98042
17.53792,32.18458
17.555,-2.32722
17.55667,60.07528
17.57042,-44.76486
17.5875,42.08347
17.59958,41.68444
17.6225,-15.17167
17.62625,-20.0218
17.63083,7.51194
17.63292,-49.49111
17.63583,1.91
17.64542,-16.80583
17.66292,-54.11042
17.67042,-36.82889
17.70833,-12.91542
17.71417,-46.00347
17.725,-15.75806
17.73375,-25.72556
17.735,58.37153
17.74458,33.15
17.74542,40.65736
17.76625,17.64861
17.79333,-47.46194
17.80708,57.46069
17.81083,-16.26333
17.84917,-5.42764
17.85583,15.44028
17.86625,-38.08528
17.87708,5.60333
17.89292,8.93139
17.93,-25.95569
17.94792,33.44542
17.96375,-40.76056
17.97125,9.89458
18.01125,-0.73194
18.01208,-44.53792
18.02167,22.74778
18.0325,-21.07333
18.06792,33.04542
18.08125,42.64097
18.08125,-32.0607
18.08208,12.28056
18.08708,-28.27375
18.12333,-16.99708
18.13875,-32.0275
18.14375,-22.09639
18.14542,10.71
18.14833,17.06694
18.16917,-29.17819
18.17542,58.46333
18.21167,-21.9625
18.2275,0.05222
18.25458,15.51139
18.27417,41.65514
18.27458,9.33542
18.31208,-19.13208
18.3175,-64.195
18.32167,-13.67028
18.32833,-38.04778
18.33167,58.92305
18.34667,-63.64208
18.35125,-22.89736
