_2RXS,RAJ2000,DEJ2000,SrcFlux,ALLWISE,W1mag,W2mag,W3mag,W4mag,SepW-2RXS,MatchFlag,_1RXS,_2MASS,Jmag,Hmag,Kmag,Gaia,pmRA,pmDE,__Gmag_
b'2RXS J102204.4-323322',155.51861,-32.55633,1.4873e-11,b'J102204.37-323327.1',6.979,7.096,7.022,6.877,4.565305,1,b'J102204.4-323324',333450778.0,7.912,7.385,7.204,5448626572909752320,-119.497,-21.855,9
b'2RXS J094524.1-324059',146.35059,-32.68323,2.2132e-12,b'J094524.15-324058.1',5.831,5.647,5.804,5.794,1.4636774,1,b'J094524.4-324059',404082069.0,6.072,5.888,5.831,5439787633296179200,-135.839,-26.048,6
b'2RXS J004753.1-324524',11.97162,-32.75681,5.8799e-12,b'J004752.97-324520.7',7.783,7.808,7.749,7.669,4.65572,1,b'J004753.2-324524',1178210836.0,8.632,8.063,7.899,5006701170027162624,246.877,-11.944,10
b'2RXS J211402.0-293950',318.50873,-29.66391,5.1512e-12,b'J211401.99-293949.0',5.709,5.647,5.743,5.72,1.5977094,1,b'J211402.1-293949',1313708740.0,6.141,5.871,5.729,6787895129257545728,232.778,-36.99,7
b'2RXS J105146.0-293909',162.94207,-29.65266,1.5863e-12,b'J105146.18-293909.1',6.597,6.57,6.637,6.551,1.1646229,1,b'J105146.1-293909',293370622.0,6.963,6.735,6.662,5456133660347625472,-110.214,-36.45,7
b'2RXS J035247.7-292611',58.19915,-29.43642,9.3837e-13,b'J035248.15-292611.1',7.937,7.986,7.937,7.603,4.7424445,1,b'J035247.7-292607',154963628.0,8.59,8.179,8.076,4887997929052183552,125.498,-7.227,9
b'2RXS J011240.6-291043',18.16921,-29.17879,9.6479e-12,b'J011240.63-291046.7',6.471,6.461,6.488,6.402,3.0773497,1,b'J011240.6-291041',108210432.0,7.183,6.681,6.521,5029927425451496448,133.357,-20.162,8
b'2RXS J221102.5-211401',332.76063,-21.23374,2.2541e-12,b'J221102.48-211358.3',4.799,4.615,4.872,4.792,3.2098901,1,b'J221102.5-211403',61381873.0,5.199,4.968,4.823,6819531720920925184,119.186,-42.334,5
b'2RXS J192240.0-203836',290.66685,-20.64336,4.5044e-11,b'J192240.30-203835.3',4.055,3.799,4.005,3.945,3.694708,1,b'J192240.0-203840',5379128.0,4.847,4.187,4.125,4082719804765819904,7.094,-104.662,6
b'2RXS J141719.9-234336',214.33298,-23.72687,2.5232e-12,b'J141720.26-234336.3',8.379,8.409,8.336,7.905,4.8751073,1,b'J141719.9-234336',319674870.0,9.012,8.562,8.472,6275925166329436160,-143.917,-46.704,10
b'2RXS J133750.4-240738',204.46037,-24.12725,1.9597e-12,b'J133750.30-240741.0',7.345,7.423,7.413,7.139,3.9350429,1,b'J133750.4-240738',321988380.0,7.906,7.541,7.442,6191602142127787008,-100.569,48.182,9
b'2RXS J130839.5-234922',197.16459,-23.82279,1.1253e-12,b'J130839.77-234919.3',6.335,6.263,6.368,6.292,4.608034,1,b'J130839.5-234922',1268802849.0,6.617,6.402,6.324,3503867099267815936,-119.109,2.843,7
b'2RXS J093633.6-244210',144.1403,-24.7029,1.5533e-12,b'J093633.55-244209.6',5.494,5.266,5.57,5.57,1.8077528,1,b'J093633.6-244210',295086935.0,5.758,5.593,5.566,5661903791151953920,-123.906,56.723,6
b'2RXS J222613.6-191122',336.55701,-19.18952,8.2462e-13,b'J222613.69-191118.5',6.415,6.402,6.44,6.159,3.6836112,1,b'',28478402.0,7.19,6.62,6.476,6821533106961669120,234.977,-24.953,8
b'2RXS J200132.9-165208',300.38723,-16.86889,8.0118e-13,b'J200132.90-165209.1',5.798,5.752,5.856,5.803,1.2698175,1,b'',50901248.0,6.182,5.883,5.843,6871005632654183424,147.013,-75.964,7
b'2RXS J114642.4-192808',176.67705,-19.46895,9.798e-13,b'J114642.26-192811.2',6.738,6.734,6.769,6.749,4.3843217,1,b'J114642.5-192807',417199446.0,7.135,6.868,6.815,3543404163014331392,-136.1,-7.97,7
