,gls_power
rosat_sc/TIC830993487_s8_pdcsap_sc_tls.h5,"(0.46947005925800755, 0.02562410633593061)"
rosat_sc/TIC737802458_s5_pdcsap_sc_tls.h5,"(0.468034460787789, 0.030719399689220845)"
rosat_sc/TIC435930877_s5_pdcsap_sc_tls.h5,"(0.4563412481335653, 0.024122122754655934)"
rosat_sc/TIC180762527_s26_pdcsap_sc_tls.h5,"(0.45593564856678354, 0.03199168392267746)"
rosat_sc/TIC400598180_s8_pdcsap_sc_tls.h5,"(0.4540439273285842, 0.031140440765043378)"
rosat_sc/TIC11071764_s7_pdcsap_sc_tls.h5,"(0.44899360014062206, 0.02475683264253694)"
rosat_sc/TIC53255031_s19_pdcsap_sc_tls.h5,"(0.4397114265410487, 0.022632424877455107)"
rosat_sc/TIC1000256740_s23_pdcsap_sc_tls.h5,"(0.43577712112862477, 0.027228135996027716)"
rosat_sc/TIC150187916_s1_pdcsap_sc_tls.h5,"(0.42261864757545264, 0.02970471177580424)"
rosat_sc/TIC431107890_s16_pdcsap_sc_tls.h5,"(0.4212606007652124, 0.02743894451799546)"
rosat_sc/TIC267845661_s10_pdcsap_sc_tls.h5,"(0.41761544768274117, 0.02673187624018428)"
rosat_sc/TIC272785770_s14_pdcsap_sc_tls.h5,"(0.4152090284520636, 0.025461748937195477)"
rosat_sc/TIC1235438764_s12_pdcsap_sc_tls.h5,"(0.4116188286386682, 0.026592599544224754)"
rosat_sc/TIC713148439_s6_pdcsap_sc_tls.h5,"(0.40931299410021704, 0.029945278410803355)"
rosat_sc/TIC20072435_s5_pdcsap_sc_tls.h5,"(0.3977049182216118, 0.02498931668257135)"
rosat_sc/TIC461512871_s18_pdcsap_sc_tls.h5,"(0.3945144182045283, 0.021520263915949637)"
rosat_sc/TIC323172801_s10_pdcsap_sc_tls.h5,"(0.391041689416391, 0.02872523884491601)"
rosat_sc/TIC249694129_s16_pdcsap_sc_tls.h5,"(0.3841755667343741, 0.02766255306740978)"
rosat_sc/TIC239052494_s19_pdcsap_sc_tls.h5,"(0.379347874897629, 0.027614980031299453)"
rosat_sc/TIC117936618_s5_pdcsap_sc_tls.h5,"(0.37586859786295845, 0.01963078031007747)"
rosat_sc/TIC334930659_s11_pdcsap_sc_tls.h5,"(0.3730036827490587, 0.025027035013642233)"
rosat_sc/TIC21720503_s25_pdcsap_sc_tls.h5,"(0.3676937312752664, 0.02125914330422645)"
rosat_sc/TIC211237621_s12_pdcsap_sc_tls.h5,"(0.36220174314076936, 0.02380908428892652)"
rosat_sc/TIC143209292_s6_pdcsap_sc_tls.h5,"(0.3619929324375946, 0.020076292958648326)"
rosat_sc/TIC220436223_s1_pdcsap_sc_tls.h5,"(0.3506779806166139, 0.025480461670909987)"
rosat_sc/TIC336898945_s26_pdcsap_sc_tls.h5,"(0.34476466393391464, 0.025514370728126762)"
rosat_sc/TIC137985716_s19_pdcsap_sc_tls.h5,"(0.3393171333672079, 0.01910254463782222)"
rosat_sc/TIC42991745_s6_pdcsap_sc_tls.h5,"(0.33451115698950845, 0.027400838263343677)"
rosat_sc/TIC233159259_s14_pdcsap_sc_tls.h5,"(0.3334206605964056, 0.019689772077452317)"
rosat_sc/TIC32644711_s5_pdcsap_sc_tls.h5,"(0.32834581908863564, 0.016650292377680675)"
